<strategy>
Use a structured grid search over 8 coefficients with adaptive refinement, followed by local optimization. Combine exact polynomial evaluations with numerical root-finding to compute r_max precisely. Prioritize coefficient ranges that balance positive and negative contributions for sign-uncertainty.
</strategy>

```python
import numpy as np
from scipy.optimize import minimize
from scipy.optimize import Bounds
from scipy.optimize import fsolve
from sympy import symbols, Eq, solve, Rational, sqrt, pi
import time

def run(seed=42, budget_s=600, **kwargs):
    np.random.seed(seed)
    
    def exact_r_max(coeff):
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
        expr = expr.as_poly()
        
        expr = expr.as_dict()
        
