<strategy>
To find an improved upper bound for the Erdős minimum overlap problem constant $ C_5 $, we need to construct a step function $ h $ that minimizes the maximum overlap integral over all shifts $ k $. The goal is to find a function $ h $ that satisfies the constraints and results in a lower value of $ C_5 $.

### Strategy Overview

1. **Initialization**: Start with an initial guess for $ h $, which is provided through `initial_h_values`. This serves as a baseline for optimization.

2. **Optimization Framework**:
   - Use a combination of gradient-based and evolutionary optimization methods to explore the space of possible $ h $ values.
   - Use a genetic algorithm (GA) to explore the search space efficiently, as it is well-suited for high-dimensional and non-convex problems.
   - Use a local optimizer (e.g., L-BFGS-B) to refine the best candidates found by the GA.

3. **Evaluation**:
   - For each candidate $ h $, compute the overlap integral using `np.correlate` and scale by `dx`.
   - Track the maximum overlap value $ C_5 $ and aim to minimize it.

4. **Parameter Tuning**:
   - Use a small number of samples (e.g., 500) to keep the computation feasible within the time budget.
   - Use a population size of 50 for the GA and run it for a fixed number of generations.
   - Refine the best candidates using a local optimizer.

5. **Early Stopping**:
   - Monitor the elapsed time and stop the optimization early if the time budget is reached.

6. **Final Evaluation**:
   - After the optimization completes, return the best $ h $ found, along with the corresponding $ C_5 $ value and the number of samples used.

This approach balances exploration and exploitation, leveraging the strengths of both global and local search methods to find a good solution within the time constraints.
</strategy>

```python
import numpy as np
import scipy.optimize as optimize
import random
import time

def run(seed=42, budget_s=600, **kwargs):
    np.random.seed(seed)
    start_time = time.time()
    n_points = 500
    dx = 2.0 / n_points
    initial_h_values = np.array(initial_h_values)
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
    initial_h_values = np.interp(initial_h_values, (initial_h_values.min(), initial_h_values.max()), (0, 1))
