signature,occurrences,teacher_selected,selected_fraction
run_failed: the truth value of an array with more than one element is ambiguous. use a.any() or a.all(),6,5,0.8333333333333334
run_failed: cannot access local variable 'perturbed' where it is not associated with a value,6,4,0.6666666666666666
run_failed: [errno #] no such file or directory: 'initial_h_values.npy',5,4,0.8
run_failed: can't pickle local object 'run.<locals>.evaluate_guess',5,1,0.2
run_failed: name 'start_time' is not defined,4,3,0.75
run_failed: no module named 'initial_h_values',4,4,1.0
run_failed: tuple index out of range,4,1,0.25
run_failed: evaluate_erdos_solution() missing # required positional argument: 'n_points',4,3,0.75
run_failed: can't pickle local object 'run.<locals>.optimize_start',4,4,1.0
run_failed: name 'concurrent' is not defined,4,2,0.5
run_failed: cannot cast ufunc 'multiply' output from dtype('float#') to dtype('int#') with casting rule 'same_kind',4,3,0.75
run_failed: name 'x_new' is not defined,4,2,0.5
run_failed: invalid index to scalar variable.,3,2,0.6666666666666666
run_failed: cannot import name 'slsqp' from 'scipy.optimize' (/home/ubuntu/mohammad/.venv/lib/python#.#/site-packages/sc,3,3,1.0
run_failed: cannot access local variable 'best_c#' where it is not associated with a value,3,2,0.6666666666666666
run_failed: can't pickle local object 'run.<locals>.optimize_h',3,2,0.6666666666666666
run_failed: name 'n_points' is not defined,3,2,0.6666666666666666
run_failed: 'dict' object has no attribute 'success',3,2,0.6666666666666666
run_failed: numpy boolean array indexing assignment cannot assign # input values to the # output values where the mask i,3,1,0.3333333333333333
run_failed: failed to read results: ran out of input,3,0,0.0
run_failed: name 'perturbations' is not defined,3,0,0.0
run_failed: name 'generate_interval_guess' is not defined,3,0,0.0
"run_failed: float() argument must be a string or a real number, not 'generator'",2,2,1.0
run_failed: name 'dx' is not defined,2,1,0.5
run_failed: cannot import name 'l_bfgs_b' from 'scipy.optimize' (/home/ubuntu/mohammad/.venv/lib/python#.#/site-packages,2,2,1.0
"run_failed: the vectorized function must return an array of shape (s,) when given an array of shape (len(x), s)",2,1,0.5
run_failed: run.<locals>.<lambda>() takes # positional argument but # were given,2,1,0.5
run_failed: unknown solver de,2,1,0.5
run_failed: 'x#' must only have one dimension.,2,1,0.5
run_failed: name 'bounds' is not defined,2,2,1.0
run_failed: negative dimensions are not allowed,2,1,0.5
run_failed: differential_evolution() got an unexpected keyword argument 'vectorsize',2,2,1.0
run_failed: please select a valid mutation strategy,2,2,1.0
run_failed: can't pickle local object 'run.<locals>.objective_wrapper',2,2,1.0
run_failed: list assignment index out of range,2,2,1.0
run_failed: differential_evolution() got an unexpected keyword argument 'options',2,1,0.5
run_failed: can't pickle local object 'run.<locals>.evaluate_perturbation',2,1,0.5
run_failed: _minimize_trustregion_constr() got an unexpected keyword argument 'tol',2,0,0.0
run_failed: name 'compute_c#' is not defined,2,0,0.0
run_failed: differential_evolution() got an unexpected keyword argument 'crossover',2,0,0.0
run_failed: cannot take a larger sample than population when 'replace=false',2,0,0.0
"run_failed: could not broadcast input array from shape (#,#) into shape (#,)",2,0,0.0
"run_failed: the population supplied needs to have shape (s, len(x)), where s > #.",2,0,0.0
run_failed: evaluate_c#() missing # required positional argument: 'n_points',1,1,1.0
"run_failed: '[' was never closed (tmpo#emo#n#.py, line #)",1,1,1.0
run_failed: '>=' not supported between instances of 'ellipsis' and 'float',1,1,1.0
run_failed: compute_c#() missing # required positional argument: 'dx',1,1,1.0
"run_failed: '[' was never closed (tmpo#d#uvp.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmp#t#gfgea.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpmmn#tlr#.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpzz#dv#w.py, line #)",1,1,1.0
"run_failed: cannot evaluate the truth value of a constraint or chain constraints, e.g., # >= x >= #.",1,1,1.0
"run_failed: '[' was never closed (tmpjaxv#dop.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpsjeuj#rk.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmppmykq#h_.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpb#dqteat.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpc#ymq#o.py, line #)",1,1,1.0
run_failed: only integer scalar arrays can be converted to a scalar index,1,1,1.0
"run_failed: '[' was never closed (tmpz#z#q#i#.py, line #)",1,1,1.0
"run_failed: float() argument must be a string or a real number, not 'ellipsis'",1,1,1.0
"run_failed: '[' was never closed (tmpf#ayfdn.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpsxbqdiv#.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpm#phsqm.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmp#tsdm#f#.py, line #)",1,1,1.0
run_failed: 'numpy.timedelta#' object has no attribute 'total_seconds',1,1,1.0
run_failed: objective() missing # required positional argument: 'n_points',1,1,1.0
"run_failed: '[' was never closed (tmpv#zfvixo.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmp#ncm#s#o.py, line #)",1,1,1.0
run_failed: 'function' object has no attribute 'initial_h_values',1,1,1.0
"run_failed: '[' was never closed (tmpekb#za#r.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmphsznxvga.py, line #)",1,1,1.0
run_failed: leaf.__init__() got an unexpected keyword argument 'lower',1,1,1.0
"run_failed: '[' was never closed (tmp#xerw#yt.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmppbt#zv#.py, line #)",1,1,1.0
run_failed: can't pickle <function evaluate_individual at #x#f#cfe#>: import of module 'program' failed,1,1,1.0
run_failed: cannot import name 'trust_constr' from 'scipy.optimize' (/home/ubuntu/mohammad/.venv/lib/python#.#/site-pack,1,1,1.0
run_failed: the truth value of an empty array is ambiguous. use `array.size > #` to check that an array is not empty.,1,1,1.0
"run_failed: invalid syntax. maybe you meant '==' or ':=' instead of '='? (tmp_ub#tg#p.py, line #)",1,1,1.0
run_failed: can't pickle <function evaluate_and_optimize at #x#f#cf#e#>: import of module 'program' failed,1,1,1.0
"run_failed: float() argument must be a string or a real number, not 'function'",1,1,1.0
run_failed: can't pickle <function optimize_guess at #x#f#bc#d#>: import of module 'program' failed,1,1,1.0
run_failed: setting an array element with a sequence. the requested array has an inhomogeneous shape after # dimensions.,1,1,1.0
run_failed: can't pickle <function optimize_candidate at #x#f#c#c#e#>: import of module 'program' failed,1,1,1.0
"run_failed: '[' was never closed (tmp#eyv#r#.py, line #)",1,1,1.0
run_failed: can't pickle <function optimize_single at #x#fddd#d#a#>: import of module 'program' failed,1,1,1.0
run_failed: can't pickle <function optimize_single_guess at #x#f#bdb#a#>: import of module 'program' failed,1,1,1.0
run_failed: name 'linearconstraint' is not defined,1,1,1.0
run_failed: minimize() got an unexpected keyword argument 'max_iter',1,1,1.0
run_failed: unsupported operand type(s) for +=: 'int' and 'str',1,1,1.0
run_failed: unsupported operand type(s) for +: 'int' and 'str',1,1,1.0
run_failed: can't pickle local object 'run.<locals>.optimize_with_seed',1,1,1.0
run_failed: can't pickle <function evaluate_candidate at #x#fc#ef#a#>: import of module 'program' failed,1,1,1.0
run_failed: can't pickle <function optimize_h at #x#fbc#>: import of module 'program' failed,1,1,1.0
run_failed: unsupported operand type(s) for /: 'tuple' and 'float',1,1,1.0
run_failed: can't pickle <function optimize_h at #x#fd#f#a#>: import of module 'program' failed,1,1,1.0
run_failed: can't pickle <function run_trial at #x#f#acc#c#>: import of module 'program' failed,1,1,1.0
run_failed: can't pickle local object 'run.<locals>.optimize_perturbed',1,1,1.0
"run_failed: name 'best_c#' is used prior to nonlocal declaration (tmpw#jywz#.py, line #)",1,1,1.0
"run_failed: name 'best_c#' is used prior to nonlocal declaration (tmphxllj#n.py, line #)",1,1,1.0
run_failed: can't pickle <function optimization_task at #x#f#ebdc#d#>: import of module 'program' failed,1,1,1.0
run_failed: problem has an invalid constraint of type <class 'cvxpy.problems.objective.minimize'>,1,1,1.0
run_failed: can't pickle <function optimize_single at #x#fb#d#>: import of module 'program' failed,1,1,1.0
run_failed: can't pickle <function optimize_h at #x#f#b#>: import of module 'program' failed,1,1,1.0
"run_failed: expected an indented block after 'for' statement on line # (tmpvh_g#x#.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmpce#qhu#y.py, line #)",1,1,1.0
"run_failed: '[' was never closed (tmps#ckx#uk.py, line #)",1,1,1.0
run_failed: can't pickle local object 'run.<locals>.transformed_objective',1,1,1.0
"run_failed: '[' was never closed (tmpgdotq_#h.py, line #)",1,1,1.0
run_failed: can't pickle <function optimize_single_guess at #x#f#da#e#>: import of module 'program' failed,1,1,1.0
run_failed: _minimize_trustregion_constr() got an unexpected keyword argument 'eps',1,1,1.0
run_failed: can't pickle local object 'run.<locals>.worker',1,1,1.0
run_failed: can't pickle <function optimize_h at #x#fb#b#cfe#>: import of module 'program' failed,1,1,1.0
run_failed: 'numpy.float#' object is not iterable,1,1,1.0
run_failed: scale < #,1,1,1.0
"run_failed: name 'best_c#' is used prior to nonlocal declaration (tmpttu_kg#k.py, line #)",1,1,1.0
run_failed: 'future' object has no attribute 'index',1,1,1.0
"run_failed: 
        an attempt has been made to start a new process before the
        current process has finished its",1,1,1.0
run_failed: can't pickle <function optimize_guess at #x#f#b#>: import of module 'program' failed,1,1,1.0
run_failed: cannot access local variable 'x_new' where it is not associated with a value,1,1,1.0
run_failed: can't pickle <function optimize_guess at #x#fa#>: import of module 'program' failed,1,1,1.0
run_failed: can't pickle <function optimize_guess at #x#fd#e#b#b#>: import of module 'program' failed,1,1,1.0
"run_failed: all the input arrays must have same number of dimensions, but the array at index # has # dimension(s) and th",1,0,0.0
"run_failed: '[' was never closed (tmpe#n#v#.py, line #)",1,0,0.0
"run_failed: expected a sequence of integers or a single integer, got 'np.float#(#.#)'",1,0,0.0
run_failed: choice() got an unexpected keyword argument 'out',1,0,0.0
run_failed: choice() got an unexpected keyword argument 'shuffle',1,0,0.0
"run_failed: '[' was never closed (tmpgn#swxpw.py, line #)",1,0,0.0
"run_failed: '[' was never closed (tmp#z#xns.py, line #)",1,0,0.0
run_failed: can't pickle <function optimize_single at #x#ff#a#ff#>: import of module 'program' failed,1,0,0.0
"run_failed: closing parenthesis ']' does not match opening parenthesis '(' (tmp#_ym#m.py, line #)",1,0,0.0
run_failed: can't pickle <function optimize_single at #x#f#a#a#>: import of module 'program' failed,1,0,0.0
"run_failed: '[' was never closed (tmpti#w#ybc.py, line #)",1,0,0.0
"run_failed: '[' was never closed (tmpkax#jatv.py, line #)",1,0,0.0
"run_failed: '[' was never closed (tmp#nqnfp#g.py, line #)",1,0,0.0
"run_failed: name 'best_c#' is used prior to nonlocal declaration (tmpytpdrkz#.py, line #)",1,0,0.0
run_failed: name 'generate_random_guess' is not defined,1,0,0.0
run_failed: name 'generate_periodic_guess' is not defined,1,0,0.0
run_failed: can't pickle <function optimize_h at #x#f#d#cf#fe#>: import of module 'program' failed,1,0,0.0
"run_failed: '[' was never closed (tmpswa#fk#s.py, line #)",1,0,0.0
run_failed: cannot access local variable 'cons' where it is not associated with a value,1,0,0.0
run_failed: cannot access local variable 'objective_slsqp' where it is not associated with a value,1,0,0.0
"run_failed: expected a sequence of integers or a single integer, got '#.#'",1,0,0.0
"run_failed: too many indices for array: array is #-dimensional, but # were indexed",1,0,0.0
run_failed: cannot unpack non-iterable float object,1,0,0.0
run_failed: 'pool' object has no attribute 'results',1,0,0.0
run_failed: unknown solver dual annealing,1,0,0.0
"run_failed: expected an indented block after 'if' statement on line # (tmpdjwk#ys#.py, line #)",1,0,0.0
run_failed: 'dict' object has no attribute 'append',1,0,0.0
"run_failed: '(' was never closed (tmp#acpg#tz.py, line #)",1,0,0.0
run_failed: name 'initial_guess' is not defined,1,0,0.0
run_failed: no module named 'deap',1,1,1.0
run_failed: basinhopping() got an unexpected keyword argument 'accept_prob',1,1,1.0
run_failed: list index out of range,1,1,1.0
run_failed: differential_evolution() got an unexpected keyword argument 'polish_options',1,1,1.0
run_failed: name 'target_sum' is not defined,1,0,0.0
run_failed: cannot access local variable 'current_h' where it is not associated with a value,1,0,0.0
"run_failed: expected an indented block after 'if' statement on line # (tmpfilaz#.py, line #)",1,0,0.0
run_failed: can't pickle local object 'run.<locals>.genetic_algorithm',1,0,0.0
