step,rollouts,valid,valid_fraction,code_valid_fraction,code_failures,constraint_failures,timeouts,step_best_raw,cumulative_best_raw,valid_raw_median,valid_raw_mean,parent_best_raw,improved_over_parent,same_as_parent,worse_than_parent,improved_fraction_all,same_fraction_valid,unique_exact_codes,unique_structural_codes,unique_valid_exact_codes,unique_valid_constructions_12dp,same_construction_as_parent,mean_unique_codes_per_group,constant_reward_groups,mean_group_max_ties,response_tokens_total,response_tokens_mean,response_tokens_p95,beta_mean,beta_median,saturated_beta_groups,positive_advantage_fraction,archive_size,distinct_good,feedback_lambda_effective,feedback_teacher_rollouts
20,512,367,0.716796875,0.837890625,83,54,8,0.3809597396360159,0.3809597396360159,0.3809601293999011,0.380979854710978,0.3809598538269691,280,1,86,0.546875,0.0027247956403269754,465,459,322,37,1,58.125,0,19.5,2753555,5378.037109375,8159.599999999999,1044235.0773703299,1048576.0,8,0.6484375,344,240,0.0,0
21,512,378,0.73828125,0.83203125,86,26,22,0.3809596792920771,0.3809596792920771,0.380959917371903,0.38161154520809215,0.3809597396360159,300,41,37,0.5859375,0.10846560846560846,458,453,324,33,41,57.25,0,6.5,2677495,5229.482421875,8351.449999999999,1048576.0,1048576.0,8,0.724609375,360,256,0.0,0
22,512,381,0.744140625,0.8046875,100,17,14,0.3809594616691217,0.3809594616691217,0.38095969526519113,0.38146426459178295,0.3809596792920771,312,11,58,0.609375,0.028871391076115485,439,435,310,31,5,54.875,0,11.75,2744131,5359.630859375,8077.8,1048576.0,1048576.0,8,0.736328125,376,245,0.0,0
23,512,365,0.712890625,0.810546875,97,24,26,0.38095946166912165,0.38095946166912165,0.3809596138191673,0.3809603508160359,0.3809594616691217,269,45,51,0.525390625,0.1232876712328767,417,410,272,22,1,52.125,0,31.125,2620952,5119.046875,7921.099999999999,1048576.0,1048576.0,8,0.708984375,392,220,0.0,0
24,512,369,0.720703125,0.806640625,99,27,17,0.3809594616691217,0.38095946166912165,0.38095957841593053,0.3809595519567678,0.38095946166912165,109,260,0,0.212890625,0.7046070460704607,398,387,262,11,59,49.75,0,26,2706938,5286.98828125,8323.45,1048576.0,1048576.0,8,0.720703125,408,114,0.0,0
25,512,390,0.76171875,0.833984375,85,27,10,0.3809594616691216,0.3809594616691216,0.3809594616691216,0.3811321049621915,0.3809594616691217,27,310,53,0.052734375,0.7948717948717948,405,385,283,16,53,50.625,0,32.75,2574010,5027.36328125,7768.5999999999985,1048576.0,1048576.0,8,0.75390625,424,191,0.0,0
26,512,357,0.697265625,0.78125,112,29,14,0.38095936969820876,0.38095936969820876,0.3809594616691217,0.38095946140725895,0.3809594616691216,6,349,2,0.01171875,0.9775910364145658,387,379,237,6,0,48.375,0,27.125,2554995,4990.224609375,7782.450000000001,1048576.0,1048576.0,8,0.6953125,440,6,0.009375000000000022,75
27,512,359,0.701171875,0.787109375,109,35,9,0.38095935372717343,0.38095935372717343,0.3809594481775623,0.3809614872911974,0.38095936969820876,44,313,2,0.0859375,0.871866295264624,402,389,252,8,4,50.25,0,35.375,2596542,5071.37109375,7726.700000000001,917505.5843949626,1048576.0,7,0.69921875,456,120,0.006445312500000022,86
28,512,290,0.56640625,0.755859375,125,30,67,0.3809593360637215,0.3809593360637215,0.38095944517739555,0.3812049083923433,0.38095935372717343,128,159,3,0.25,0.5482758620689655,452,438,237,11,95,56.5,0,20.25,2758399,5387.498046875,8678.25,655360.4928848641,1048576.0,5,0.560546875,472,93,0.022070312500000022,95
29,512,305,0.595703125,0.802734375,101,21,85,0.3809593360637205,0.3809593360637205,0.38095935372717343,0.38096672541593224,0.3809593360637215,43,257,5,0.083984375,0.8426229508196721,447,439,241,12,60,55.875,0,30,2799471,5467.716796875,8639.85,655360.5332334861,1048576.0,5,0.560546875,488,185,0.0,0
30,512,286,0.55859375,0.845703125,79,19,128,0.38095933606372046,0.38095933606372046,0.38095933606372046,0.3809596852071829,0.3809593360637205,1,284,1,0.001953125,0.993006993006993,450,439,234,4,51,56.25,0,29.25,2704790,5282.79296875,7952.499999999999,655360.3879635611,1048576.0,5,0.556640625,504,184,0.0,0
31,512,312,0.609375,0.806640625,99,23,78,0.3809593360637205,0.38095933606372046,0.3809593360637205,0.38188150706185814,0.38095933606372046,0,305,7,0.0,0.9775641025641025,456,452,261,7,0,57,0,38.125,2829876,5527.1015625,8667.9,786432.316467859,1048576.0,6,0.599609375,520,0,0.0,0
32,512,237,0.462890625,0.830078125,87,19,169,0.3809593360637205,0.38095933606372046,0.3809593360637205,0.3809593360888909,0.38095933606372046,0,236,1,0.0,0.9957805907172996,445,438,199,2,0,55.625,0,29.5,2795339,5459.646484375,8938.55,262145.0499677548,1.5968603572445979,2,0.462890625,536,0,0.0,0
33,512,264,0.515625,0.890625,56,16,176,0.3809593360637205,0.38095933606372046,0.3809593360637205,0.3809593360637205,0.3809593360637205,0,264,0,0.0,1.0,434,413,208,1,89,54.375,0,33,2725146,5322.55078125,8387.099999999999,524288.5599523472,524288.5916370522,4,0.515625,552,0,0.0,0
