<strategy>
To improve the packing of 26 circles in a unit square to maximize the sum of radii, we can take the following steps:
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
from scipy.optimize import Bounds, minimize
