<strategy>
Use a strategic grid search with adaptive scaling, guided by known bounds and symmetry, leveraging SymPy for exact root isolation and using a hybrid of differential evolution and L-BFGS for precision.
</strategy>

```python
import numpy as np
from scipy.optimize import differential_evolution, Bounds
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0, 0)
        Q = Q.as_coefficients_dict().get(0,
