```python
import numpy as np
from scipy.optimize import minimize
from scipy.spatial.distance import pdist, squareform
import matplotlib.pyplot as plt

def run_packing():
    np.random.seed(42)

    # Initial guess: grid with some randomness
    grid_points = np.array([np.linspace(0, 1, 5), np.linspace(0, 1, 5)]).T
    initial_centers = grid_points[0] + np.random.normal(0, 0.05, grid_points.shape)
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])
    initial_centers = np.vstack([initial_centers, np.array([0.5, 0.5])])

    # Optimize the radii and centers
    n = initial_centers.shape[0]

    # Objective function to maximize sum of radii
    def objective(x):
        r = x[:n]
        return -np.sum(r)

    # Equality constraints: there are no equality constraints for this problem

    # Inequality constraints: ensure no overlap and stay within the bounds
    def constraint(x):
        r = x[:n]
        centers = x[n:]
        centers = centers.reshape((n, 2))

        # Ensure all circles are inside the unit square
        for i in range(n):
            x_i, y_i = centers[i]
            r_i = r[i]
            if x_i - r_i < -1e-12 or x_i + r_i > 1 + 1e-12 or y_i - r_i < -1e-12 or y_i + r_i > 1 + 1e-12:
                return -np.inf

        # Ensure no overlap between circles
        for i in range(n):
            for j in range(i+1, n):
                dx = centers[i, 0] - centers[j, 0]
                dy = centers[i, 1] - centers[j, 1]
                dist = np.sqrt(dx*dx + dy*dy)
                if dist < r[i] + r[j] - 1e-12:
                    return -np.inf

        return 0.0

    # Initial guess: r = 0.05 for all and centers = initial_centers
    initial_guess = np.concatenate([np.full(n, 0.05), initial_centers.reshape(-1)])

    # Set up optimization problem
    bounds = []
    for _ in range(n):
        bounds.extend([(0, 1.0)])  # r_i must be between 0 and 1
    bounds.extend([(0, 1.0) for _ in range(2*n)])  # x and y must be between 0 and 1

    res = minimize(objective, initial_guess, method='SLSQP', bounds=bounds, constraints={'type': 'ineq', 'fun': constraint, 'jac': None}, options={'ftol': 1e-12, 'maxiter': 1000})

    if not res.success:
        raise ValueError("Optimization failed.")

    # Extract the optimal radii and centers
    radii = res.x[:n]
    centers = res.x[n:].reshape((n, 2))

    # Validate the packing
    valid, message = validate_packing(centers, radii)
    if not valid:
        raise ValueError(f"Invalid packing: {message}")

    # Return the configuration
    return (centers, radii, np.sum(radii))

def validate_packing(centers, radii):
    n = centers.shape[0]

    if np.isnan(centers).any() or np.isnan(radii).any():
        return False, "NaN values present"

    for i in range(n):
        if radii[i] < 0:
            return False, f"Circle {i} has negative radius {radii[i]}"

    for i in range(n):
        x, y = centers[i]
        r = radii[i]
        if (x - r < -1e-12 or x + r > 1 + 1e-12
                or y - r < -1e-12 or y + r > 1 + 1e-12):
            return False, f"Circle {i} at ({x},{y}) r={r} outside unit square"

    for i in range(n):
        for j in range(i + 1, n):
            dist = np.sqrt(np.sum((centers[i] - centers[j]) ** 2))
            if dist < radii[i] + radii[j] - 1e-12:
                return False, f"Circles {i} and {j} overlap"

    return True, "ok"
```
