```python
import numpy as np
import scipy.optimize as opt
import time

def run(seed=42, budget_s=600):
    np.random.seed(seed)
    n_points = 100
    dx = 2.0 / n_points
    initial = initial_h_values
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.inter n_points = 100
    dx = 2.0 / n_points
    initial = initial_h_values
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
    h = np.interp(np.linspace(0, 2, n_points), np.unique(initial), np.sort(np.unique(initial)))
